name,language,stars,issues,size,created_at,updated_at,has_issues,has_wiki,repo_age_days,days_since_update,issue_density,success
yeti,28,1999,48,36627,2015-12-13 16:54:26+00:00,2026-06-26 11:12:29+00:00,True,True,3849,1,0.0013104728622911435,1
devcards-template,6,20,7,48,2014-05-13 14:39:52+00:00,2025-02-06 16:00:36+00:00,True,True,4428,506,0.14285714285714285,0
python-bem,28,20,2,124,2011-12-21 09:05:26+00:00,2017-04-13 06:26:10+00:00,True,True,5302,3362,0.016,0
react-dom-stream,17,1997,11,45,2015-10-20 03:54:08+00:00,2026-06-06 05:51:36+00:00,True,True,3903,21,0.2391304347826087,1
Lyapunov-optimization,28,100,1,5468,2019-06-23 10:52:46+00:00,2026-03-26 07:18:45+00:00,True,True,2561,93,0.00018284878405558602,0
searchable,25,1997,107,118,2014-06-17 05:53:45+00:00,2026-06-25 23:34:43+00:00,True,True,4393,1,0.8991596638655462,1
pacer-neo4j,30,20,4,171,2011-04-08 03:52:07+00:00,2017-08-30 04:39:08+00:00,True,True,5559,3223,0.023255813953488372,0
chrome-extension-mv3-firebase-boilerplate,17,100,3,2975,2022-01-30 16:25:32+00:00,2026-03-03 13:55:13+00:00,True,True,1609,116,0.0010080645161290322,0
OAT,3,100,5,368898,2020-07-15 17:46:29+00:00,2026-05-23 16:24:51+00:00,True,True,2173,35,1.3553845361467502e-05,0
botnet-detection,16,20,2,126,2012-04-28 16:57:54+00:00,2026-02-05 14:01:45+00:00,True,True,5173,142,0.015748031496062992,0
emmett,37,500,32,7457,2023-03-22 08:31:10+00:00,2026-06-26 19:14:32+00:00,True,True,1193,0,0.004290694556181282,1
sanitize-rails,30,20,2,55,2011-03-29 09:31:58+00:00,2021-04-25 05:39:21+00:00,True,True,5569,1889,0.03571428571428571,0
cc-switch,31,109451,1536,57980,2025-08-04 14:16:16+00:00,2026-06-27 17:31:52+00:00,True,True,327,0,0.026491436850002586,1
coreml-cli,35,100,0,46,2026-01-21 03:11:25+00:00,2026-06-15 14:57:53+00:00,True,True,157,12,0.0,0
asymmetricfs,4,20,0,142,2013-01-28 03:03:08+00:00,2024-06-27 00:05:36+00:00,True,True,4898,730,0.0,0
